name,type,bus,carrier,tech,profile,capacity,capacity_potential,capacity_minimum,expandable,marginal_cost,capacity_cost,output_parameters
wind,volatile,el,wind,onshore,wind,0.0,258.72,0.0,False,8.0,136632.82,{"custom_attributes": {"emission_factor": 0.011}}
pv_ground,volatile,el,solar,pv_ff,pv_ground,0.0,2546.0,0.0,False,0.0,50368.60,{"custom_attributes": {"emission_factor": 0.041}}
pv_roof,volatile,el,solar,pv_roof,pv_roof,0.0,59.05,0.0,False,0.0,95799.93,{"custom_attributes": {"emission_factor": 0.041}}
pv_agri,volatile,el,solar,pv_agri,pv_agri,0.0,858.0,0.0,False,0.0,121187.61,{"custom_attributes": {"emission_factor": 0.041}}
pv_marsh,volatile,el,solar,pv_moor,pv_marsh,0.0,189.25,0.0,False,0.0,92044.03,{"custom_attributes": {"emission_factor": 0.041}}
