name,type,fuel_bus,heat_bus,electricity_bus,carrier,tech,electric_efficiency,thermal_efficiency,capacity,capacity_cost,carrier_cost,marginal_cost,expandable,input_parameters
SB-backpressure,backpressure,sb,th,el,biomass,chp,0.25,0.0,0.64,441444.30713210517,0.0,4.0,False,{}
BG-backpressure,backpressure,bg,th,el,biogas,chp,0.35,0.0,0.0,400299.80686530418,0.0,4.0,False,{}
