file_renamed;title;category;layer_in_category_order;tooltip_text;color;source;license;comments
potentialarea_pv_roof.gpkg;Potenzielle Dachflächen für PV;EE-Potenziale;7.0;Potenziell geeignete Dachflächen für die Installation von Photovoltaikanlagen.;#F8D637;;;
roof_generator_pv_roof.gpkg;Dachflächen mit Aufdach-PV;Erneuerbare Energien heute;5.0;Dächer, auf denen heute bereits eine Photovoltaikanlage installiert ist.;#C19800;;;
generator_biomass.gpkg;Biomasse;Erneuerbare Energien heute;7.0;Standorte von bestehenden Biomasseanlagen.;#52C41A;;;
agricultural_area.gpkg;Landwirtschaftliche Flächen;Natur und Schutzgebiete;10.0;Landwirtschaftlich genutzte Flächen.;#ddcd8e;;;landuse not of interest
forest.gpkg;Wälder;Natur und Schutzgebiete;9.0;Wald umfasst eine Vielzahl an mit Bäumen und anderer Vegetation bedeckten Fläche mit unterschiedlicher forstwirtschaftlicher Nutzung und ökologischer Bedeutung.;#004529;;;
grassland.gpkg;Grasland;Natur und Schutzgebiete;11.0;Graslandflächen, die als extensive Nutzflächen oder als Lebensräume für bestimmte Arten dienen können.;#cadf8e;;;landuse not of interest
generator_pv_ground.gpkg;Freiflächen-PV;Erneuerbare Energien heute;4.0;Bestehende Photovoltaikanlagen auf Freiflächen.;#EFAD25;;;
meadow.gpkg;Wiesen;Natur und Schutzgebiete;12.0;Wiesenflächen, die ökologisch wertvoll sein können und der landwirtschaftlichen Nutzung dienen.;#8edd9a;;;landuse not of interest
potentialarea_wind_rpg_2024_draft.gpkg;Windvorranggebiete 2024 (Entwurf);EE-Potenziale;5.0;Geplante Vorranggebiete für Windenergie gemäß dem Regionalplanentwurf 2024.;#92b0f0;;;
generator_pv_roof.gpkg;Aufdach-PV-Anlagen;Erneuerbare Energien heute;6.0;Bestehende Photovoltaikanlagen auf Dachflächen.;#ffd660;;;
generator_wind.gpkg;Windenergieanlagen;Erneuerbare Energien heute;1.0;Bestehende Windenergieanlagen;#7a9ce7;;;
generator_wind_15a.gpkg;Windenergieanlagen > 15 Jahre;Erneuerbare Energien heute;2.0;Bestehende Windenergieanlagen, die älter als 15 Jahre sind. Sie sind potenziell für Repowering-Maßnahmen geeignet.;#6A89CC;;;Turbines >15a
generator_wind_25a.gpkg;Windenergieanlagen > 25 Jahre;Erneuerbare Energien heute;3.0;Bestehende Windenergieanlagen, die älter als 25 Jahre sind. Sie sind potenziell für Repowering-Maßnahmen geeignet.;#526ba2;;;Turbines >25a
water_and_drinking_water_protection_area.gpkg;Gewässer und Trinkwasserschutzgebiete;Natur und Schutzgebiete;8.0;Gewässer mit nicht-bebaubarer Pufferzone sowie Trinkwasserschutzgebiete. Wasserschutzgebiete stellen die öffentliche Wasserversorgung durch die Vermeidung schädlicher Eintragungen in die Gewässer (Grundwasser, oberirdische Gewässer, Küstengewässer) sicher.;#2171B5;;;Gewässer und TWSG
forest_protected.gpkg;Naturwälder;Natur und Schutzgebiete;4.0;Als Naturwälder oder Naturwald-Reservate werden Waldflächen bezeichnet, in denen die (forstliche) Nutzung komplett eingestellt wird.;#004529;;;
bird_protection_area.gpkg;Vogelschutzgebiete;Natur und Schutzgebiete;3.0;Gebiete, die dem Schutz gefährdeter Vogelarten dienen. Sie sind Teil des europäischen Natura-2000-Netzwerks.;#41ab5d;;;
fauna_flora_habitat.gpkg;FFH-Gebiete;Natur und Schutzgebiete;2.0;Fauna-Flora-Habitat-Gebiete, die dem Schutz seltener Arten und Lebensräume dienen. Sie sind Teil des Natura-2000-Netzwerks.;#78C679;;;
protected_landscape_parts.gpkg;Gesch. Landschaftsbestandteile;Natur und Schutzgebiete;7.0;Gesetzlich geschützte Landschaftsbestandteile wie Alleen oder Einzelbäume, die aus ökologischen oder ästhetischen Gründen erhalten werden.;#115e5f;;;
natural_parks.gpkg;Naturparke;Natur und Schutzgebiete;5.0;Naturparke, die großflächige Schutzgebiete mit Erholungsfunktion und nachhaltiger Nutzung darstellen.;#115F2B;;;
landscape_protection_area.gpkg;Landschaftsschutzgebiete;Natur und Schutzgebiete;6.0;Landschaftsschutzgebiete, die dem Erhalt der Vielfalt, Eigenart und Schönheit der Landschaft dienen.;#006837;;;
nature_conservation_area.gpkg;Naturschutzgebiete;Natur und Schutzgebiete;1.0;Naturschutzgebiete dienen dem Schutz der Natur und Landschaft. Sie tragen zur Erhaltung, Entwicklung und Wiederherstellung der Lebensstätte für bestimmte wild lebende Tier- und Pflanzenarten bei. Aber auch aus wissenschaftlichen, naturgeschichtlichen und ästhetischen Gründen werden Teile oder die Gesamtheit der Natur in Schutz genommen.;#ADDD8E;;;
potentialarea_pv_ground.gpkg;Potenzialflächen Freiflächen-PV;EE-Potenziale;6.0;Potenziell geeignete Flächen für neue Freiflächen-Photovoltaikanlagen. Die Auswahl berücksichtigt Ausschlusskriterien und basiert auf einer Mindestgröße von 360 m².;#F8D637;;;360 m2 min. size
potentialarea_wind_1000m.gpkg;Potenzialflächen Windenergie (1000m Siedlungsabstand);EE-Potenziale;4.0;Flächen mit Potenzial für Windenergie unter Berücksichtigung eines Mindestabstands von 1000 Metern zu Siedlungen.;#6A89CC;;;
potentialarea_wind_800m.gpkg;Potenzialflächen Windenergie (800m Siedlungsabstand);EE-Potenziale;3.0;Flächen mit Potenzial für Windenergie unter Berücksichtigung eines Mindestabstands von 800 Metern zu Siedlungen.;#6A89CC;;;
potentialarea_wind_600m.gpkg;Potenzialflächen Windenergie (600m Siedlungsabstand);EE-Potenziale;2.0;Flächen mit Potenzial für Windenergie unter Berücksichtigung eines Mindestabstands von 600 Metern zu Siedlungen.;#6A89CC;;;
potentialarea_wind_400m.gpkg;Potenzialflächen Windenergie (400m Siedlungsabstand);EE-Potenziale;1.0;Flächen mit Potenzial für Windenergie unter Berücksichtigung eines Mindestabstands von 400 Metern zu Siedlungen.;#6A89CC;;;
cadastral_parcels.gpkg;Flurstücke (Zoom 14+);Grenzen;2.0;Flurstücke gemäß Katasterdaten. Sie dienen der genauen räumlichen Zuordnung von Eigentumsgrenzen.;#232323;;;
