timeindex,wind,pv_ground,pv_roof,pv_agri,pv_marsh
2012-01-01T00:00:00Z,0.925,0.0,0.0,0.0,0.0
2012-01-01T01:00:00Z,0.933,0.0,0.0,0.0,0.0
2012-01-01T02:00:00Z,0.941,0.0,0.0,0.0,0.0
2012-01-01T03:00:00Z,0.958,0.0,0.0,0.0,0.0
2012-01-01T04:00:00Z,0.972,0.0,0.0,0.0,0.0
2012-01-01T05:00:00Z,0.978,0.0,0.0,0.0,0.0
2012-01-01T06:00:00Z,0.975,0.0,0.0,0.0,0.0
2012-01-01T07:00:00Z,0.968,0.0,0.0,0.0,0.0
2012-01-01T08:00:00Z,0.974,0.024200877,0.01810805885137359,0.016297252966236228,0.016297252966236228
2012-01-01T09:00:00Z,0.977,0.105878839,0.07922275906476899,0.07130048315829209,0.07130048315829209
2012-01-01T10:00:00Z,0.985,0.148230375,0.11091186298997248,0.09982067669097523,0.09982067669097523
2012-01-01T11:00:00Z,0.987,0.140163416,0.10487584337284797,0.09438825903556317,0.09438825903556317
2012-01-01T12:00:00Z,0.985,0.158314074,0.1184568876984381,0.10661119892859429,0.10661119892859429
2012-01-01T13:00:00Z,0.984,0.059493824,0.044515645705123105,0.04006408113461079,0.04006408113461079
2012-01-01T14:00:00Z,0.984,0.007058589,0.005281517071453991,0.004753365364308592,0.004753365364308592
2012-01-01T15:00:00Z,0.986,0.0,0.0,0.0,0.0
2012-01-01T16:00:00Z,0.987,0.0,0.0,0.0,0.0
2012-01-01T17:00:00Z,0.987,0.0,0.0,0.0,0.0
2012-01-01T18:00:00Z,0.985,0.0,0.0,0.0,0.0
2012-01-01T19:00:00Z,0.98,0.0,0.0,0.0,0.0
2012-01-01T20:00:00Z,0.973,0.0,0.0,0.0,0.0
2012-01-01T21:00:00Z,0.977,0.0,0.0,0.0,0.0
2012-01-01T22:00:00Z,0.98,0.0,0.0,0.0,0.0
2012-01-01T23:00:00Z,0.982,0.0,0.0,0.0,0.0
2012-01-02T00:00:00Z,0.982,0.0,0.0,0.0,0.0
2012-01-02T01:00:00Z,0.98,0.0,0.0,0.0,0.0
2012-01-02T02:00:00Z,0.977,0.0,0.0,0.0,0.0
2012-01-02T03:00:00Z,0.971,0.0,0.0,0.0,0.0
2012-01-02T04:00:00Z,0.967,0.0,0.0,0.0,0.0
2012-01-02T05:00:00Z,0.965,0.0,0.0,0.0,0.0
2012-01-02T06:00:00Z,0.968,0.0,0.0,0.0,0.0
2012-01-02T07:00:00Z,0.966,0.00403348,0.0030180101826821543,0.002716209164413939,0.002716209164413939
2012-01-02T08:00:00Z,0.959,0.167389403,0.12524740986123314,0.11272266887510984,0.11272266887510984
2012-01-02T09:00:00Z,0.959,0.399314479,0.2987829774077023,0.2689046796669321,0.2689046796669321
2012-01-02T10:00:00Z,0.959,0.500151468,0.3742332237441186,0.33680990136970673,0.33680990136970673
2012-01-02T11:00:00Z,0.958,0.507210058,0.3795147415638124,0.34156326740743115,0.34156326740743115
2012-01-02T12:00:00Z,0.959,0.429565576,0.32141805153309916,0.28927624637978927,0.28927624637978927
2012-01-02T13:00:00Z,0.955,0.262176173,0.19617064167186601,0.1765535775046794,0.1765535775046794
2012-01-02T14:00:00Z,0.941,0.050418495,0.037725123542328036,0.03395261118809523,0.03395261118809523
2012-01-02T15:00:00Z,0.926,0.0,0.0,0.0,0.0
2012-01-02T16:00:00Z,0.91,0.0,0.0,0.0,0.0
2012-01-02T17:00:00Z,0.892,0.0,0.0,0.0,0.0
2012-01-02T18:00:00Z,0.856,0.0,0.0,0.0,0.0
2012-01-02T19:00:00Z,0.787,0.0,0.0,0.0,0.0
2012-01-02T20:00:00Z,0.762,0.0,0.0,0.0,0.0
2012-01-02T21:00:00Z,0.737,0.0,0.0,0.0,0.0
2012-01-02T22:00:00Z,0.72,0.0,0.0,0.0,0.0
2012-01-02T23:00:00Z,0.707,0.0,0.0,0.0,0.0
2012-01-03T00:00:00Z,0.714,0.0,0.0,0.0,0.0
2012-01-03T01:00:00Z,0.726,0.0,0.0,0.0,0.0
2012-01-03T02:00:00Z,0.73,0.0,0.0,0.0,0.0
2012-01-03T03:00:00Z,0.74,0.0,0.0,0.0,0.0
2012-01-03T04:00:00Z,0.775,0.0,0.0,0.0,0.0
2012-01-03T05:00:00Z,0.776,0.0,0.0,0.0,0.0
2012-01-03T06:00:00Z,0.805,0.0,0.0,0.0,0.0
